xvariable,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
..18 to 24 years,1684,148,7,0
..25 to 29 years,3106,893,127,113
..30 to 34 years,2672,1216,168,163
..35 to 39 years,2386,1163,163,223
..40 to 44 years,2440,1185,169,197
..45 to 49 years,2423,1005,157,149
..50 to 54 years,2480,954,131,140
..55 to 59 years,2062,1066,130,132
..60 to 64 years,1750,1035,140,127
..65 to 69 years,1347,772,84,129
..70 to 74 years,825,455,36,64
