xvariable,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
..18 to 24 years,3016,212,12,2
..25 to 29 years,5889,1492,214,198
..30 to 34 years,4970,2068,371,327
..35 to 39 years,4457,2002,316,404
..40 to 44 years,4523,1995,382,402
..45 to 49 years,4499,1982,347,309
..50 to 54 years,4594,1783,309,354
..55 to 59 years,3948,1841,325,380
..60 to 64 years,3537,1770,361,329
..65 to 69 years,2801,1477,278,371
..70 to 74 years,1716,907,174,215
